id,name,partOf,locationType
D1969043,HQ Office,Location/A11,CRVS_OFFICE
64DBB514,Austrinias District Office,Location/A11,CRVS_OFFICE
309247F1,Atrias District Office,Location/A12,CRVS_OFFICE
4AB7F2CE,Aduna District Office,Location/A13,CRVS_OFFICE
B6C7EEE3,Awima District Office,Location/A14,CRVS_OFFICE
3BBE9648,Bepula District Office,Location/B11,CRVS_OFFICE
196E6F4B,Bolunwa District Office,Location/B12,CRVS_OFFICE
15099F83,Blecin District Office,Location/B13,CRVS_OFFICE
57DBE9CB,Ciwa District Office,Location/C11,CRVS_OFFICE
B034EEAC,Clopala District Office,Location/C12,CRVS_OFFICE
063764D5,Cwelula District Office,Location/C13,CRVS_OFFICE
962D3263,Calums District Office,Location/C14,CRVS_OFFICE
A8CF0580,Crepina District Office,Location/C15,CRVS_OFFICE
77CE6EA1,Deyna District Office,Location/D11,CRVS_OFFICE
2C6C26DE,Drealas District Office,Location/D12,CRVS_OFFICE
91732E3C,Dinias District Office,Location/D13,CRVS_OFFICE
952183C9,Darkwa District Office,Location/D14,CRVS_OFFICE
D2625FA5,Enuga District Office,Location/E11,CRVS_OFFICE
DEE572D2,Equinias District Office,Location/E12,CRVS_OFFICE
D89DE5F6,Edo District Office,Location/E13,CRVS_OFFICE
38A05713,Ewunaka District Office,Location/E14,CRVS_OFFICE
FC4839D9,Avada Provincial Office,Location/A11,CRVS_OFFICE
43F63DD5,Benugo Provincial Office,Location/B11,CRVS_OFFICE
3EC50AF4,Central Provincial Office,Location/C11,CRVS_OFFICE
6AFE1EBE,Delta Provincial Office,Location/D11,CRVS_OFFICE
401DB67E,Eastern Provincial Office,Location/E11,CRVS_OFFICE
