id,name,partOf,locationType
A49B32D5,Austrinias District Hospital,Location/A11,HEALTH_FACILITY
DBAB7AE2,Atrias District Hospital,Location/A12,HEALTH_FACILITY
25C5EF44,Aduna District Hospital,Location/A13,HEALTH_FACILITY
60E075B4,Awima District Hospital,Location/A14,HEALTH_FACILITY
F9A4E628,Bepula District Hospital,Location/B11,HEALTH_FACILITY
B8591AB1,Bolunwa District Hospital,Location/B12,HEALTH_FACILITY
8381BF39,Blecin District Hospital,Location/B13,HEALTH_FACILITY
0E61422E,Ciwa District Hospital,Location/C11,HEALTH_FACILITY
D7B3141A,Clopala District Hospital,Location/C12,HEALTH_FACILITY
7680B6F9,Cwelula District Hospital,Location/C13,HEALTH_FACILITY
4815735C,Calums District Hospital,Location/C14,HEALTH_FACILITY
2CA98F6A,Crepina District Hospital,Location/C15,HEALTH_FACILITY
C97F0B54,Deyna District Hospital,Location/D11,HEALTH_FACILITY
5AC44D68,Drealas District Hospital,Location/D12,HEALTH_FACILITY
9001A8D4,Dinias District Hospital,Location/D13,HEALTH_FACILITY
E3BB3C55,Darkwa District Hospital,Location/D14,HEALTH_FACILITY
CD5A6D1D,Enuga District Hospital,Location/E11,HEALTH_FACILITY
8CBF45CF,Equinias District Hospital,Location/E12,HEALTH_FACILITY
89EEBA08,Edo District Hospital,Location/E13,HEALTH_FACILITY
A963890D,Ewunaka District Hospital,Location/E14,HEALTH_FACILITY
5BC9190A,Avada District Hospital,Location/A11,HEALTH_FACILITY
CDB3CF8F,Benugo District Hospital,Location/B11,HEALTH_FACILITY
FE1CA563,Central District Hospital,Location/C11,HEALTH_FACILITY
0F17F2FF,Delta District Hospital,Location/D11,HEALTH_FACILITY
137C58A3,Eastern District Hospital,Location/E11,HEALTH_FACILITY
