admin2Name_en,admin2Name_alias,admin2Pcode,admin1Name_en,admin1Name_alias,admin1Pcode,admin0Name_en,admin0Name_alias,admin0Pcode
Austrinias,Austrinias,A11,Avada,Avada,A1,Futuria,Futuria,FUT
Atrias,Atrias,A12,Avada,Avada,A1,Futuria,Futuria,FUT
Aduna,Aduna,A13,Avada,Avada,A1,Futuria,Futuria,FUT
Awima,Awima,A14,Avada,Avada,A1,Futuria,Futuria,FUT
Bepula,Bepula,B11,Benugo,Benugo,B1,Futuria,Futuria,FUT
Bolunwa,Bolunwa,B12,Benugo,Benugo,B1,Futuria,Futuria,FUT
Blecin,Blecin,B13,Benugo,Benugo,B1,Futuria,Futuria,FUT
Ciwa,Ciwa,C11,Central,Central,C1,Futuria,Futuria,FUT
Clopala,Clopala,C12,Central,Central,C1,Futuria,Futuria,FUT
Cwelula,Cwelula,C13,Central,Central,C1,Futuria,Futuria,FUT
Calums,Calums,C14,Central,Central,C1,Futuria,Futuria,FUT
Crepina,Crepina,C15,Central,Central,C1,Futuria,Futuria,FUT
Deyna,Deyna,D11,Delta,Delta,D1,Futuria,Futuria,FUT
Drealas,Drealas,D12,Delta,Delta,D1,Futuria,Futuria,FUT
Dinias,Dinias,D13,Delta,Delta,D1,Futuria,Futuria,FUT
Darkwa,Darkwa,D14,Delta,Delta,D1,Futuria,Futuria,FUT
Enuga,Enuga,E11,Eastern,Eastern,E1,Futuria,Futuria,FUT
Equinias,Equinias,E12,Eastern,Eastern,E1,Futuria,Futuria,FUT
Edo,Edo,E13,Eastern,Eastern,E1,Futuria,Futuria,FUT
Ewunaka,Ewunaka,E14,Eastern,Eastern,E1,Futuria,Futuria,FUT
