adminPcode,name,male_population_2024,female_population_2024,population_2024,crude_birth_rate_2024
A11,Austrinias,105857,101706,207563,21.5
A12,Atrias,323762,311065,634827,21.5
A13,Aduna,190860,183376,374236,21.5
A14,Awima,141207,135669,276876,21.5
A1,Avada,761686,713816,1493502,21.5
B11,Bepula,232727,223601,456328,21
B12,Bolunwa,61678,59260,120938,21
B13,Blecin,446934,429408,876342,21
B1,Benugo,741339,712269,1453608,21
C11,Ciwa,630091,605382,1235473,22.4
C12,Clopala,218121,209568,427689,22.4
C13,Cwelula,374608,359918,734526,22.4
C14,Calums,163943,157513,321456,22.4
C15,Crepina,391789,376425,768214,22.4
C1,Central,1778552,1708806,3487358,22.4
D11,Deyna,181802,174672,356474,20.9
D12,Drealas,377070,362282,739352,20.9
D13,Dinias,56728,54504,111232,20.9
D14,Darkwa,449995,432349,882344,20.9
D1,Delta,1065595,1023807,2089402,20.9
E11,Enuga,62214,59775,121989,19.9
E12,Equinias,180313,173242,353555,19.9
E13,Edo,268306,257784,526090,19.9
E14,Ewunaka,94113,90423,184536,19.9
E1,Eastern,604946,581224,1186170,19.9
